ID,TrialType,BlockNum,AlienOrder,QuizResp,QuizFailedNum,TimeElapsed,RT,PRT,Galaxy,DecayRate,AlienIndex,GemValue,TimeInBlock,Bonus
9999,InitializeStudy,,"[ 51 103 119  26  95 104  20  48  97  73  36  77   4  28  35  68 118  29
  66  40  84 105  63 107  25  42  80 101  86  57  61  93  83  33  50  58
  55  71  37  64  78  27 120  96  46  72  44 102 114  43  38  49 109  52
 106  74  53  89  39  56  76  45  67  34  54  92  10  30  75  99  16 117
   1  41  19  59   5  11  90   2   7  81 110   8  98   9  94  13   3 100
  79  21  69   6  62 115  82 108  91  32  47  12  14  23  85 116  24 111
  15  18  70  60  31  17  87  22  65  88 113 112]",,,0.0004127924330532551,,,,,,,,
,Instruction_1,,,,,5.197434125002474,,,,,,,,
,Instruction_2,,,,,7.489874167367816,,,,,,,,
,Instruction_3,,,,,8.90976266702637,,,,,,,,
,Instruction_4,,,,,13.330523209180683,,,,,,,,
,Travel_Planet,,,,,14.337746459059417,,,,,,,,
,Instruction_5,,,,,25.655412917025387,,,,,,,,
,Instruction_6,,,,,26.849273334257305,,,,,,,,
,Instruction_7,,,,,27.996328375302255,,,,,,,,
,practice_quiz,,,"['The number of gems you collect', 'Is fixed', 'False']",0,32.06899775005877,,,,,,,,
,Instruction_8,,,,,38.82799345906824,,,,,,,,
,Practice_Trial,,,,,47.61287112534046,0.776784542016685,,,,,,,
,Practice_Trial,,,,,50.75393675034866,0.1310360413044691,,,,,,,
,Practice_Trial,,,,,54.31177025008947,0.551397250033915,,,,,,,
,Instruction_Button,,,,,67.46682245936245,,,,,,,,
,start_loop,1,,,,68.47558091720566,,,0,0.10485163899754256,0,103,,
,Dig_Trial_1,,,,,77.8997227922082,0.9267612090334296,,,,,11,,
,Dig_Trial_2,,,,,81.45591108407825,0.05018700007349253,,,,,1,,
,Travel_Planet,,,,,82.4612540001981,,,,,,,,
,alien_visit,,,,,96.45732962526381,,,0,0.19655398365662724,1,100,,
,Dig_Trial_3,,,,,100.24640600010753,0.2852900829166174,,,,,20,,
,Dig_Trial_4,,,,,104.69103916734457,0.9298259578645229,,,,,4,,
,Dig_Trial_5,,,,,108.53306754212826,0.33505291724577546,,,,,1,,
,Travel_Planet,,,,,109.54039950016886,,,,,,,,
,home_base,,,,,118.91519079217687,,,,,,,50.4396992912516,
,start_loop,2,,,,122.29746766714379,,,2,0.848098611224694,2,97,,
,Dig_Trial_6,,,,,130.82916391734034,0.013528000097721815,,,,,82,,
,Dig_Trial_7,,,,,134.6359682502225,0.30220337491482496,,,,,70,,
,Dig_Trial_8,,,,,138.3781815841794,0.24124433286488056,,,,,59,,
,Dig_Trial_9,,,,,141.91423037508503,0.015168959274888039,,,,,50,,
,Dig_Trial_10,,,,,145.42758708400652,0.012170834001153708,,,,,42,,
,Dig_Trial_11,,,,,149.35910195903853,0.4241736251860857,,,,,36,,
,Dig_Trial_12,,,,,153.5697017093189,0.7047694995999336,,,,,31,,
,Travel_Planet,,,,,154.58345979219303,,,,,,,,
,home_base,,,,,163.7188640423119,,,,,,,41.421445542015135,
,start_loop,3,,,,165.93119500018656,,,1,0.5511244366506229,3,96,,
,Dig_Trial_13,,,,,174.68617295939475,0.25290900003165007,,,,,53,,
,Dig_Trial_14,,,,,178.20843666698784,0.010909250006079674,,,,,29,,
,Dig_Trial_15,,,,,181.7201057090424,0.011242541950196028,,,,,16,,
,Dig_Trial_16,,,,,185.2382119591348,0.014083334244787693,,,,,9,,
,Dig_Trial_17,,,,,189.05901816720143,0.32057170756161213,,,,,5,,
,Travel_Planet,,,,,190.0725560421124,,,,,,,,
,home_base,,,,,199.2304986254312,,,,,,,33.29935541562736,
,start_loop,4,,,,205.75665737502277,,,2,0.7936703359169279,4,102,,
,Dig_Trial_18,,,,,215.49454604228958,1.229582749772817,,,,,81,,
,Dig_Trial_19,,,,,221.00698479218408,NA,,,,,64,,
,Too_slow,,,,,223.00080570904538,NA,,,,,,,
,Dig_Trial_20,,,,,226.74527879199013,0.24947312474250793,,,,,51,,
,Dig_Trial_21,,,,,230.2553956671618,0.009840582963079214,,,,,40,,
,Dig_Trial_22,,,,,233.77517629228532,0.010622583795338869,,,,,32,,
,Dig_Trial_23,,,,,237.29644079227,0.01232875045388937,,,,,25,,
,Dig_Trial_24,,,,,242.53360200021416,1.730743792373687,,,,,20,,
,Travel_Planet,,,,,243.53384479228407,,,,,,,,
,home_base,,,,,252.84533458435908,,,,,,,47.08872308302671,
,start_loop,5,,,,254.89821020932868,,,0,0.38540943384266896,5,110,,
,Dig_Trial_25,,,,,263.88785420916975,0.4758321247063577,,,,,42,,
,Dig_Trial_26,,,,,268.27040900010616,0.8818809580989182,,,,,16,,
,Dig_Trial_27,,,,,271.7874643341638,0.013205458410084248,,,,,6,,
,Dig_Trial_28,,,,,275.30233795940876,0.01274179108440876,,,,,2,,
,Dig_Trial_29,,,,,279.2603647923097,0.4536391249857843,,,,,1,,
,Travel_Planet,,,,,280.26994545944035,,,,,,,,
,home_base,,,,,289.49163779243827,,,,,,,34.59347633412108,
,EndStudy,,,,,295.72738816728815,,,,,,,,0
