ID,TrialType,BlockNum,AlienOrder,QuizResp,QuizFailedNum,TimeElapsed,RT,PRT,Galaxy,DecayRate,AlienIndex,GemValue,TimeInBlock
5137,InitializeStudy,,"[ 68  14  23  74  41 116  13 107  51  79  62  30 113   2  26  37  31  78
  92  66  97  87 115  12  45  73  67  93  36  42  63  33  48  75  65  99
  86  54  98  32   9  39  35  80 108  84   7 120  81  85  90  29  20  71
  25  61  17  94  83 117 101   8  76  89 109   4  56  49  64  18  70  24
  50  77 118 119   5  38  58  82  55 104 100  28  72  53 110 105  34  15
  40  44  11  10  52 106 102  21  43 103  91  22  88  96   3  69 111 112
  47  57  16   1  59 114  95  27  60   6  19  46]",,,0.0010400415631011128,,,,,,,
,Instruction_1,,,,,1.1202476249309257,,,,,,,
,Instruction_2,,,,,2.1251367083750665,,,,,,,
,Instruction_3,,,,,3.250107583357021,,,,,,,
,Dig_Instruct,,,,,6.381836416549049,,,,,,,
,Instruction_4,,,,,8.017197416629642,,,,,,,
,Travel_Planet,,,,,18.1423548333114,,,,,,,
,Instruction_5,,,,,19.02501170837786,,,,,,,
,Instruction_6,,,,,20.224409708403982,,,,,,,
,Instruction_7,,,,,21.0048272915883,,,,,,,
,block_end,,,"['The number of gems you collect', 'Is fixed', 'False']",0,24.995265833334997,,,,,,,0
,Instruction_8,,,,,27.324420666554943,,,,,,,
,Travel_Trial,,,,,45.14632079156581,0.3400221667252481,0.3402543750125915,,,,0,
,Travel_Planet,,,,,55.27866979164537,,,,,,,
,Instruction_9,,,,,56.684926458401605,,,,,,,
,start_loop,1,,,,56.68797800003085,,,1,0.5003147135384419,0,,
,Dig_Trial_1,,,,,66.0148058750201,0.9323826668551192,,,,,105,
,Dig_Trial_2,,,,,69.89080954156816,0.7557629582006484,,,,,53,
,Travel_Trial,,,,,74.25014279165771,1.2907191249541938,9.167933208402246,,,,27,
,Travel_Planet,,,,,84.38893416663632,,,,,,,
,start_loop,1,,,,84.39915887499228,,,1,0.4817702144520254,1,,
,Dig_Trial_3,,,,,93.52001820830628,0.697204333380796,,,,,98,
,Dig_Trial_4,,,,,97.60315595834982,1.0387558749644086,,,,,47,
,Travel_Trial,,,,,100.98310524993576,0.3428894999669865,8.160577125032432,,,,23,
,Travel_Planet,,,,,111.11738416657317,,,,,,,
,too_slow,,,,,115.4389211665839,,,,,,,
,home_base,,,,,115.43895024992526,,,,,,,54.44108641659841
,start_loop,2,,,,115.43908124999143,,,2,0.7655500032867758,2,,
,Dig_Trial_5,,,,,124.60251020838041,0.746859458158724,,,,,95,
,Dig_Trial_6,,,,,128.67163295834325,1.0042009166209027,,,,,73,
,Dig_Trial_7,,,,,132.05228979163803,0.38867575000040233,,,,,56,
,Travel_Trial,,,,,135.75848716660403,0.7224613749422133,11.90303699998185,,,,43,
,Travel_Planet,,,,,145.89294841664378,,,,,,,
,too_slow,,,,,151.44075045839418,,,,,,,
,home_base,,,,,151.4407793333521,,,,,,,30.46291441656649
,start_loop,3,,,,151.44085162493866,,,2,0.7767250449709824,3,,
,Dig_Trial_8,,,,,160.51883354166057,0.5465012915665284,,,,,101,
,Dig_Trial_9,,,,,164.46124037494883,0.8315770832123235,,,,,78,
,Dig_Trial_10,,,,,168.84444399992935,1.2304268750594929,,,,,61,
,Travel_Trial,,,,,172.51763566664886,0.5935908749233931,12.545498083345592,,,,47,
,Travel_Planet,,,,,182.66212758340407,,,,,,,
,too_slow,,,,,186.7103825416416,,,,,,,
,home_base,,,,,186.71040766662918,,,,,,,31.230341541580856
,start_loop,4,,,,186.7105271249311,,,1,0.4489872537182498,4,,
,Dig_Trial_11,,,,,196.18545195832849,1.1785871665924788,,,,,112,
,Dig_Trial_12,,,,,200.10145804157946,0.8686753333313391,,,,,50,
,Travel_Trial,,,,,203.57558337494265,0.5497367499629036,8.568956250092015,,,,22,
,Travel_Planet,,,,,213.70472270832397,,,,,,,
,start_loop,4,,,,213.7132227915572,,,1,0.5037418460678148,5,,
,Dig_Trial_13,,,,,223.08711229159962,1.0112452915636823,,,,,106,
,Dig_Trial_14,,,,,227.44264987495262,1.3386977498885244,,,,,53,
,Travel_Trial,,,,,231.11846837494522,0.6307961250422522,9.04279208322987,,,,27,
,Travel_Planet,,,,,241.25612187501974,,,,,,,
,too_slow,,,,,244.9855196250137,,,,,,,
,home_base,,,,,244.98553783330135,,,,,,,54.55530308338348
,start_loop,5,,,,244.9855992499506,,,0,0.2542044379234896,6,,
,Dig_Trial_15,,,,,254.4530411666492,1.2438778333598748,,,,,97,
,Travel_Trial,,,,,258.2040128749795,0.6213515416020527,4.995059083448723,,,,25,
,Travel_Planet,,,,,268.336398000014,,,,,,,
,start_loop,5,,,,268.34606283332687,,,0,0.21169009135976175,7,,
,Dig_Trial_16,,,,,278.01843720837496,1.3096004168037325,,,,,103,
,Travel_Trial,,,,,282.0761190416524,1.023851666599512,5.367516250000335,,,,22,
,Travel_Planet,,,,,292.2061073333025,,,,,,,
,too_slow,,,,,296.2370532499626,,,,,,,
,home_base,,,,,296.23711912496947,,,,,,,47.270552083151415
,start_loop,6,,,,296.23724883340765,,,0,0.21357334823021024,8,,
,Dig_Trial_17,,,,,305.92731791664846,1.279711333452724,,,,,100,
,Travel_Trial,,,,,309.8545882916078,0.7658507499145344,5.207218333380297,,,,21,
,Travel_Planet,,,,,319.98812479164917,,,,,,,
,start_loop,6,,,,319.9973667083541,,,0,0.2232280644715722,9,,
,Dig_Trial_18,,,,,329.135614416562,0.7620500832563266,,,,,91,
,Travel_Trial,,,,,332.8442464165855,0.5380400000140071,4.470949749927968,,,,20,
,Travel_Planet,,,,,342.98187250003684,,,,,,,
